文本内容,识别结果,风险原因
0,通过,NA
1,通过,NA
2,通过,NA
3,通过,NA
4,通过,NA
5,拒绝,存在政治敏感不合规
6,拒绝,存在政治敏感不合规
7,通过,NA
8,通过,NA
9,通过,NA
10,通过,NA
11,通过,NA
12,通过,NA
13,通过,NA
14,通过,NA
15,拒绝,存在恶意推广不合规
16,拒绝,存在恶意推广不合规
17,通过,NA
18,拒绝,存在文本色情不合规
19,通过,NA
20,通过,NA
21,拒绝,存在政治敏感不合规
22,通过,NA
23,通过,NA
24,通过,NA
25,通过,NA
26,通过,NA
27,拒绝,存在政治敏感不合规
28,通过,NA
29,通过,NA
30,通过,NA
31,通过,NA
32,通过,NA
33,通过,NA
34,通过,NA
35,通过,NA
36,通过,NA
37,通过,NA
38,通过,NA
39,通过,NA
40,通过,NA
41,通过,NA
42,通过,NA
43,通过,NA
44,拒绝,存在政治敏感不合规
45,通过,NA
46,通过,NA
47,通过,NA
48,通过,NA
49,通过,NA
50,通过,NA
51,通过,NA
52,通过,NA
53,通过,NA
54,拒绝,存在政治敏感不合规
55,通过,NA
56,通过,NA
57,拒绝,存在政治敏感不合规
58,通过,NA
59,拒绝,存在暴恐违禁不合规
60,通过,NA
61,通过,NA
62,拒绝,存在政治敏感不合规
63,通过,NA
64,通过,NA
65,通过,NA
66,拒绝,存在政治敏感不合规
67,通过,NA
68,通过,NA
69,拒绝,疑似存在政治敏感不合规
70,通过,NA
71,通过,NA
72,通过,NA
73,通过,NA
74,通过,NA
75,通过,NA
76,通过,NA
77,通过,NA
78,通过,NA
79,通过,NA
80,通过,NA
81,通过,NA
82,通过,NA
83,拒绝,疑似存在政治敏感不合规
84,拒绝,存在政治敏感不合规
85,通过,NA
86,通过,NA
87,拒绝,存在政治敏感不合规
88,通过,NA
89,通过,NA
90,通过,NA
91,拒绝,存在政治敏感不合规
92,通过,NA
93,拒绝,疑似存在政治敏感不合规
94,通过,NA
95,通过,NA
96,通过,NA
97,通过,NA
98,通过,NA
99,拒绝,存在政治敏感不合规
100,通过,NA
101,通过,NA
102,通过,NA
103,拒绝,存在政治敏感不合规
104,通过,NA
