文本内容,识别结果,风险原因
0,拒绝,政府:政治
1,拒绝,政治:政治
2,通过,NA
3,拒绝,政府:政治
4,通过,NA
5,拒绝,政治:政治;反腐:政治;反腐:政治;反腐:政治;反腐:政治
6,拒绝,政治:政治;政治:政治;动乱:政治;政治:政治;政治:政治;政治:政治
7,拒绝,精液:色情;阴道:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情
8,拒绝,中出:色情
9,通过,NA
10,通过,NA
11,通过,NA
12,拒绝,消防队:政治;消防队:政治
13,拒绝,婚外情:不良价值观;通奸:色情;性侵:色情
14,拒绝,政治:政治;政治:政治
15,拒绝,政府:政治
16,拒绝,发改委:政治;政府:政治
17,通过,NA
18,通过,NA
19,拒绝,政府:政治
20,通过,NA
21,拒绝,政治:政治;政治:政治;政治:政治;民主:政治;政治:政治;政治:政治;政治:政治;政治:政治;政府:政治;民主:政治;政治协商:政治;集会:政治;示威:政治;政治:政治;政治:政治;政府:政治;政府:政治;政府:政治;贪污腐败:政治;政治:政治;政治:政治;政治:政治;民主:政治;民主:政治;民主:政治
22,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政治:政治
23,通过,NA
24,通过,NA
25,通过,NA
26,拒绝,交通警察:政治;交通警察:政治
27,拒绝,宋庆龄:政治
28,拒绝,杀人犯:暴恐违禁
29,拒绝,政府:政治;政府:政治;中华人民共和国:政治;政府:政治;行政权:政治
30,通过,NA
31,通过,NA
32,通过,NA
33,通过,NA
34,通过,NA
35,拒绝,政府:政治
36,拒绝,当地政府:政治;当地政府:政治
37,拒绝,政府:政治
38,通过,NA
39,通过,NA
40,通过,NA
41,通过,NA
42,拒绝,性:色情;性:色情;性:色情;性:色情
43,通过,NA
44,拒绝,李大钊:政治;李大钊:政治;民主革命:政治;政治家:政治;中共中央办公厅:政治;交通部长:政治;主席:政治;民主革命:政治;中共中央对外联络部:政治;民主:政治;民主:政治
45,拒绝,政府:政治
46,拒绝,政治:政治;政治:政治
47,通过,NA
48,通过,NA
49,通过,NA
50,通过,NA
51,通过,NA
52,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政府:政治
53,拒绝,金瓶梅:色情
54,拒绝,唐荆陵:政治;宪政:政治;宪政:政治;宪政:政治;民主:政治
55,拒绝,公务员:政治
56,拒绝,法院:政治;法院:政治;法院:政治
57,拒绝,国家主席:政治;习近平:政治;总理:政治;民意调查:政治;共产党:政治
58,拒绝,公安机关:政治;公安:政治;公安:政治;公安:政治;公安:政治;公安:政治;公安:政治;公安:政治;公安:政治;公安人员:政治;公安:政治;公安:政治;公安机关:政治;公安机关:政治;公安机关:政治;公安:政治;公安:政治;政府:政治
59,拒绝,自杀:不良价值观
60,通过,NA
61,通过,NA
62,拒绝,罢工:政治;罢工:政治;罢工:政治;罢工:政治;政治:政治;罢工:政治;政治:政治;罢工:政治;罢工:政治
63,通过,NA
64,通过,NA
65,通过,NA
66,拒绝,学生运动:政治;学生运动:政治;毛泽东:政治;民主思想:政治;民主思想:政治;法论:政治
67,通过,NA
68,拒绝,党员干部:政治
69,拒绝,党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;党员干部:政治;领导干部:政治
70,通过,NA
71,通过,NA
72,拒绝,民主:政治
73,通过,NA
74,通过,NA
75,通过,NA
76,拒绝,政治:政治;教育部:政治
77,通过,NA
78,通过,NA
79,通过,NA
80,拒绝,康生:政治
81,拒绝,二十大:政治
82,通过,NA
83,拒绝,民主斗士:政治
84,拒绝,中共中央政治局常委会:政治;中共中央政治局:政治;全国政协:政治;国务院:政治;总理:政治;李克强:政治;国务院:政治
85,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政府:政治
86,通过,NA
87,拒绝,一带一路:政治
88,通过,NA
89,拒绝,政治:政治
90,通过,NA
91,拒绝,习近平:政治;总书记:政治;中央政治局:政治
92,通过,NA
93,拒绝,预备党员:政治;预备党员:政治
94,通过,NA
95,拒绝,党员:政治
96,通过,NA
97,拒绝,政府:政治;公务员:政治
98,通过,NA
99,拒绝,社会主义:政治;社会主义:政治;中国共产党:政治;社会主义:政治
100,通过,NA
101,通过,NA
102,拒绝,当地政府:政治
103,拒绝,省委书记:政治;副书记:政治;省委常委:政治;秘书长:政治;政法委书记:政治;统战部:政治;省政府:政治;党组书记:政治;省政府:政治;秘书长:政治;书记:政治;省政府:政治;秘书长:政治;政府:政治;政府:政治
104,通过,NA
105,通过,NA
106,通过,NA
107,拒绝,政府:政治
108,通过,NA
109,拒绝,政治:政治;政府:政治;政治:政治
110,通过,NA
111,拒绝,政府:政治;康生:政治
112,拒绝,习近平:政治;中国特色:政治;社会主义:政治;政治局常委:政治;中国特色:政治;社会主义:政治;中央委员会:政治;中央委员会:政治;中国梦:政治;十九大:政治;社会主义:政治;中华人民共和国:政治;中国特色:政治;社会主义:政治;政治:政治
113,拒绝,中出:色情
114,拒绝,政治:政治;推翻:政治;政治:政治;政治:政治;政府:政治;政府:政治
115,拒绝,中国银联:政治
116,拒绝,政治:政治;法院:政治
117,拒绝,跳楼:暴恐违禁;跳楼:暴恐违禁;跳楼:暴恐违禁;跳楼:暴恐违禁;跳楼:暴恐违禁;跳楼:暴恐违禁;跳楼:暴恐违禁;政府:政治
118,拒绝,预备党员:政治;预备党员:政治
119,拒绝,政府:政治;政府:政治;政府:政治;废物:谩骂;政府:政治
120,通过,NA
121,拒绝,当地政府:政治
122,通过,NA
123,通过,NA
124,拒绝,政治立场:政治
125,通过,NA
